Judul,penulis,Dosen Pembimbing I,Dosen Pembimbing II,abstrak,label
Analisis Perbandingan Capital Asset Pricing Model (CAPM) dan Arbitrage Pricing Theory (APT) dalam Memprediksi Tingkat Return Saham Pada Perusahaan Sektor Property dan Real Estate yang Terdaftar di Bur,Penulis : Aditya Pranata,"Drs. Ec. Bambang Sudarsono, MM","Hj. Evaliati Amaniyah, SE., MSM","Aditya Pranata 120211100069, Analisis Perbandingan Capital Asset Pricing Model (CAPM) dan Arbitrage Pricing Theory (APT) dalam Memprediksi Tingkat Return Saham Pada Perusahaan Sektor Property dan Real Estate yang Terdaftar di Bursa Efek Indonesia Periode 2010-2014. Dibawah bimbingan Drs. Ec. Bambang Sudarsono, MM dan Hj. Evaliati Amaniyah, SE., MSM.
       Tujuan penelitian ini adalah untuk mengetahui perkembangan CAPM dan APT dalam memprediksi tingkat return saham pada perusahan sektor property dan real estate yang terdaftar di Bursa Efek Indonesia, mengetahui perbandingan CAPM dan APT yang digunakan dalam memprediksi tingkat return saham pada perusahaan sektor property dan real estate yang terdaftar di Bursa Efek Indonesia, dan untuk mengetahui apakah ada perbedaan yang signifikan antara CAPM dan APT dalam memprediksi tingkat return saham pada perusahaan sektor property dan real estate yang terdaftar di Bursa Efek Indonesia. 
       Penelitian ini dilakukan dengan menggunakan metode deskriptif dan metode kuantitatif dengan menggunakan data sekunder yang mengambil data pada perusahaan di BEI, yahoo finance, dan Bank Indonesia. Teknik pengambilan sampel menggunakan teknik purposive sampling. 
       Berdasarkan hasil penelitian ini adalah ada perbedaan atau tidak ada perbedaan yang signifikan antara CAPM dan APT dalam memprediksi tingkat return saham pada perusahan sektor property dan real estate di BEI, dan berdasarkan hasil pengujian ada 1 perusahaan yang terdapat perbedaan yang siginfikan dan ada 9 perusahaan yang tidak ada perbedaan yang signifikan dan model APT lebih baik dari pada model CAPM.
       Kata kunci: return saham, CAPM, APT
",keuangan
"Pengaruh Komunikasi, Motivasi Kerja, Semangat Kerja Terhadap Kinerja Karyawan Badan Keswadayaan Masyarakat (BKM) Kemayoran Surabaya",Penulis : Moch. Alfian Bahruddin,"Helmi Buyung Aulia S. ST., SE., M.MT","Faidal, SE., MM","Moch Alfian Bahruddin 120211100138 , Judul Penelitian Pengaruh Komunikasi, Motivasi Kerja, Semangat Kerja Terhadap Kinerja Karyawan Badan Keswadayaan Masyarakat (BKM) Kemayoran Surabaya. Dibawah bimbingan Helmi Buyung Aulia S. ST., SE., M.MT dan Faidal, SE., MM.
Rumusan maslah dalam penelitian ini adalah (a) apakah komunikasi berpengaruh terhadap kinerja karyawan BKM Kemayoran Surabaya. (b) apakah motivasi kerja berpengaruh terhadap kinerja karyawan BKM Kemayoran Surabaya. (c) apakah semangat kerja berpengaruh terhadap kinerja karyawan BKM Kemayoran Surabaya. (d) apakah komunikasi, motivasi kerja, dan semangat kerja berpengaruh secara simultan terhadap kinerja karyawan BKM Kemayoran Surabaya. (e) variabel manakah antara komunikasi, motivasi kerja, dan semangat kerja yang lebih berpengaruh terhadap kinerja karyawan BKM Kemayoran Surabaya. Populasi dalam penelitian ini adalah 70 orang, sedangkan sampel dalam penelitian ini adalah 63 orang dengan menggunakan teknik purposive sampling. Metode yang digunakan adalah analisis regresi linier berganda.
Berdasarkan hasil analisis dan pembahasan, maka dapat disimpulkan bahwa, variabel komunikasi menunjukkan hasil perhitungan uji t adalah thitung (2,511) > ttabel (2,001) dengan nilai signifikan 0,015 < 0,05. Dengan demikian secara parsial variabel komunikasi berpengaruh positif dan signifikan terhadap kinerja karyawan BKM Kemayoran Surabaya. variabel motivasi kerja menunjukkan hasil uji t adalah thitung (2,159) > ttabel (2,001) dengan nilai signifikan 0,035 < 0,05. Dengan demikian secara parsial variabel motivasi kerja berpengaruh positif dan signifikan terhadap kinerja karyawan BKM Kemayoran Surabaya. variabel semangat kerja menunjukkan hasil perhitungan uji t adalah thitung (2,151) > ttabel (2,001) dengan nilai signifikan 0,036 < 0,05. Dengan demikian secara parsial variabel semangat kerja berpengaruh positif dan signifikan terhadap kinerja karyawan BKM Kemayoran Surabaya. hasil perhitungan SPSS 16 menujukkan bahwa, Fhitung (11,983) > Ftabel (2,76). Dengan demikian secara simultan variabel komunikasi, motivasi kerja, dan semangat kerja berpengaruh positif dan signifikan terhadap kinerja karyawan BKM Kemayoran Surabaya. dilihat dari ketiga variabel yaitu komunikasi, motivasi kerja, dan semangat kerja maka nilai beta tertinggi adalah adalah variabel komunikasi sebesar 0,294. Dengan demikian variabel komunikasi berpengaruh dominan terhadap kinerja karyawan BKM Kemayoran Surabaya. hasil perhitungan regresi adjusted R Square diperoleh sebesar 0,683. Artinya bahwa 68,3% kinerja karyawan BKM Kemyaoran Surabaya dapat dijelaskan oleh variabel bebas yang terdiri dari komunikasi, motivasi kerja, dan semangat kerja sedangkan sisanya yaitu sebesar 31,7% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini.
       Kata kunci: Komunikasi, Motivasi Kerja, Semangat Kerja, dan Kinerja Karyawan
",pemasaran
ANALISIS NILAI KEWAJARAN HARGA SAHAM MENGGUNAKAN DIVIDEND DISCOUNT MODEL (DDM) SEBAGAI ALTERNATIF PENGAMBILAN KEPUTUSAN INVESTASI PADA PERUSAHAAN SUB SEKTOR PERTAMBANGAN MINYAK DAN GAS BUMI,Penulis : DYAH FAIZATUL UMAMIK,"Dr. Chairul Anam, Drs. Ec.,  M.Kes","R. Gatot Heru Pranjoto, SE., MM","Tujuan penelitian ini adalah untuk mengetahui nilai kewajaran harga saham perusahaan sub sektor pertambangan minyak dan gas bumi yang terdaftar di Bursa Efek Indonesia (BEI) selama periode 2010-2014 berdasarkan perhitungan Dividend Discount Model (DDM). Jenis penelitian ini adalah diskriptif. Objek dalam penelitian ini adalah PT. Elnusa, Tbk., PT. Medco Energi Internasional, Tbk., dan  PT. Radiant Utama Interinsco, Tbk. Kesimpulan penelitian ini adalah (1) Ditinjau dari model pertumbuhan nol nilai intrinsik saham perusahaan PT. Elnusa dinyatakan Overvalued atau mahal karena nilai intrinsik saham PT. Elnusa lebih kecil daripada harga pasarnya. Nilai intrinsik saham PT. Medco Energi Internasional dan PT. Radiant Utama Interinsco dinyatakan Undervalued atau murah karena nilai intrinsik saham lebih besar daripada harga pasarnya. (2) Dari hasil perhitungan menggunakan pertumbuhan konstan, nilai intrinsik saham perusahaan PT. Elnusa, PT. Medco Energi Internasional dan PT. Radiant Utama Interinsco dinyatakan Undervalued atau murah karena nilai intrinsik saham lebih besar daripada harga pasarnya. (3) Dari hasil perhitungan menggunakan pertumbuhan ganda, nilai intrinsik saham perusahaan PT. Elnusa, PT. Medco Energi Internasional dan PT. Radiant Utama Interinsco dinyatakan Undervalued atau murah karena nilai intrinsik saham lebih besar daripada harga pasarnya.

Kata kunci : Dividend Discount Model, Pertambangan Minyak dan Gas Bumi, Kewajaran Harga Saham.
",pemasaran
ANALISIS PENGARUH ROTASI PEKERJAAN DAN MOTIVASI KERJA TERHADAP KINERJA KARYAWAN MELALUI KEPUASAN KERJA PADA PT. BANK RAKYAT INDONESIA CABANG DIPONEGORO SURABAYA,Penulis : ABDULLAH FAIZ,"Drs. RM. MOCH, WISPANDONO, SE. Ms","Dr. H. ALKIROM WILDAN, SE. Msi","Abstrak


Penelitian ini dilakukan pada PT. Bank Rakyat Indonesia (Persero) Tbk. Cabang Diponegoro Surabaya, dimana Bank BRI melaksanakan prinsip-prinsip Good Corporate Governance dengan berlandaskan pada nilai-nilai pokok yang tertuang pada budaya kerja  yaitu integritas, profesionalisme, kepuasan nasabah, keteladanan dan penghargaan terhadap sdm.

Tujuan dari penelitian ini adalah untuk mengetahui apakah rotasi pekerjaan dan motivasi kerja berpengaruh terhadap kinerja karyawan baik secara langsung maupun secara tidak langsung dengan dimediasi oleh kepuasan kerja. Penilitian ini merupakan penelitian populasi yang menggunakan metode sensus dengan jumlah responden sebanyak 121 orang.

Berdasarkan hasil uji hipotesis pada persamaan struktur model-1 diketahui bahwa rotasi pekerjaan, motivasi kerja dan kepuasan kerja berpengaruh positif dan signifikan terhadap kinerja karyawan, baik secara simultan maupun parsial. Hasil pada persamaan struktur model-2 menunjukkan bahwa rotasi pekerjaan dan motivasi kerja berpengaruh positif dan signifikan terhadap kepuasan kerja, baik secara simultan maupun parsial. Sedangkan hasil dari analisis jalur diketahui bahwa terdapat pengaruh mediasi antara rotasi pekerjaan terhadap kinerja melalui kepuasan kerja dengan nilai koefisien pengaruh tidak langsung sebesar 0,202 dan Thitung sebesar 4,842 > Ttabel 1,960 dengan tingkat signifikansi 0,05. Selain itu terdapat juga pengaruh mediasi antara motivasi kerja terhadap kinerja melalui kepuasan kerja diketahui dengan nilai koefisien pengaruh tidak langsung sebesar 0,341 dan Thitung sebesar 6,426 > Ttabel 1,960 dengan tingkat signifikansi 0,05.


Kata Kunci : Rotasi pekerjaan, motivasi kerja, analisis jalur, uji sobel.
",pemasaran
PENGARUH LOCUS OF CONTROL INTERNAL DAN KOMPETENSI SDM TERHADAP PRESTASI KERJA PENGURUS KOPERASI âSERBA USAHAâDI KABUPATEN BANGKALAN,Penulis : JULIANA RIZKY PUTRI DEWI,"Helmi Buyung Aulia S, ST., SE., MMT","Faidal SE., MM.","Juliana Rizky Putri Dewi, NIM. 12.02.111.001.41, Jurusan
Manajemen, Fakultas Ekonomi dan Bisnis, Universitas Trunojoyo
Madura. Skripsi ini tentang âPengaruh Locus Of Control dan
Kompetensi SDMTerhadap Prestasi Kerja Pengurus Koperasi
Serba Usaha di Kabupaten Bangkalanâ, di bawah bimbingan (I)
Helmi Buyung Aulia S, ST., SE., MMT dan (II) Faidal SE., MM.
Tujuan dari penelitian ini adalah; 1 ) Untuk mengetahui apakah
Locus Of Control Internal secara parsial berpengaruh terhadap Prestasi
Kerja pengurus Koperasi Serba Usaha di Kabupaten Bangkalan; 2)
Untuk mengetahui apakah Kompetensi SDM secara parsial berpengaruh
terhadap Prestasi Kerja pengurus Koperasi Serba Usaha di Kabupaten
Bangkalan; 3) Untuk mengetahui apakah Locus Of Control Internal dan
Kompetensi SDM secara bersama-sama berpengaruh terhadap Prestasi
Kerja pengurus Koperasi Serba Usaha di Kabupaten Bangkalan.
Hipotesis penelitian ini; 1 ) Diduga variabel Locus Of Control Internal
secara parsial berpengaruh positif dan signifikan terhadap Prestasi Kerja
pengurus Koperasi Serba Usaha di Kabupaten Bangkalan; 2) Diduga
variabel Kompetensi SDM secara parsial berpengaruh positif dan
signifikan terhadap Prestasi Kerja pengurus Koperasi Serba Usaha di
Kabupaten Bangkalan; 3) Diduga variabel Locus Of Control Internal dan
Kompetensi SDM berpengaruh positif dan signifikan secara simultan
terhadap Prestasi Kerja pengurus Koperasi Serba Usaha di Kabupaten
Bangkalan
Berdasarkan hasil analisis regresi linear berganda, 1) Secara
parsial Locus Of Control Internal berpengaruh positif dan signifikan
terhadap Prestasi Kerja pengurus Koperasi Serba Usaha di Kabupaten
Bangkalan; 2) Secara parsial Kompetensi SDM berpengaruh positif dan
signifikan terhadap Prestasi Kerja pengurus Koperasi Serba Usaha di
Kabupaten Bangkalan; 3) Secara simultan Locus Of Control Internal dan
Kompetensi SDM berpengaruh terhadap Prestasi Kerja pengurus
Koperasi Serba Usaha di Kabupaten Bangkalan. Hasil analisis
determinasi menunjukkan Adjust R Square sebesar sebesar
0,946Artinya bahwa 94,6% prestasi kerja pengurus koperasi serba
usaha di Kabupaten Bangkalan dapat dijelaskan oleh variabel bebas
yang terdiri dari Locus Of Control Internal dan Kompetensi SDM
sedangkan sisanya 5,4% dipengaruhi oleh variabel lain yang tidak diteliti
dalam penelitian ini.
Kata Kunci: Locus Of Control internal, Kompetensi SDM, dan Prestasi
Kerja",pemasaran
"Pengaruh persepsi risiko, kemudahan dan manfaat terhadap keputusan pembelian produk fashion secara online",Penulis : NUR MAR'ATUS SHOLIHAH,"Dr. H. Pribanus Wantara, Drs., M.M","Hadi Purnomo, S.E., MM","ABSTRAK


Nur Marâatus Sholihah, 120211100155. âPengaruh persepsi risiko, kemudahan dan manfaat terhadap keputusan pembelian produk fashion secara online (Studi Pada Mahasiswa Universitas Trunojoyo Madura).â Dibawah Bimbingan Dr. Drs. H. Pribanus Wantara, M.M. dan Hadi Purnomo, S.E., M.M.

Tujuan penelitian ini adalah untuk mengetahui pengaruh persepsi risiko, kemudahan, dan manfaat terhadap pengambilan keputusan pembelian produk fashion secara online dan untuk mengetahui seberapa besar pengaruh dari variabel persepsi risiko, kemudahan dan manfaat terhadap variabel keputusan pembelian produk fashion secara online (Studi Pada Mahasiswa Universitas Trunojoyo Madura).  
Pendekatan yang digunakan dalam penelitian ini adalah kuantitatif, yaitu penelitian yang berlandaskan pada filsafat positivisme yang bertujuan untuk menguji hipotesis yang telah ditetapkan. Populasi dalam penelitian ini adalah mahasiswa Universitas Trunojoyo Madura yang pernah melakukan pembelian produk fashion secara online. Sampel dalam penelitian ini berjumlah 97 responden. Teknik pengambilan sampel yang digunakan adalah purposive sampling. Uji reliabilitas dan validitas digunakan untuk menguji instrumen. Sedangkan teknik analisis data yang digunakan untuk menguji hipotesis adalah regresi linier berganda dengan menggunakan uji F (simultan) dan uji t (parsial). 
Hasil uji secara simultan menghasilkan bahwa seluruh variabel bebas (persepsi risiko, persepsi kemudahan dan persepsi manfaat) berpengaruh positif dan signifikan terhadap keputusan pembelian produk fashion secara online. Sedangkan berdasarkan uji parsial dihasilkan bahwa variabel persepsi risiko berpengaruh negatif dan signifikan terhadap variabel keputusan pembelian produk fashion secara online, variabel persepsi kemudahan dan manfaat berpengaruh positif dan signifikan terhadap variabel keputusan pembelian produk fashion secara online. Serta variabel persepsi manfaat menjadi variabel yang berpengaruh dominan terhadap keputusan pembelian produk fashion secara online.


Kata kunci: persepsi risiko, persepsi kemudahan, persepsi manfaat, keputusan pembelian online, produk fashion
",msdm
"PENGARUH MOTIVASI KERJA DAN DISIPLIN KERJA TERHADAP
KINERJA KARYAWAN BAGIAN PRODUKSI DI PT. MARINAL INDOPRIMA
CABANG SUMENEP",Penulis : LUQMAN HAKIM,"Helmi Buyung Aulia S, ST., SE., M.MT","Faidal, SE., MM.","Luqman Hakim, 120211100143, Pengaruh Motivasi Kerja dan Disiplin Kerja
terhadap Kinerja Karyawan Bagian Produksi di PT. Marinal Indoprima Cabang
Sumenep. Dibawah bimbingan Helmi Buyung Aulia S, ST., SE., M.MT dan
Faidal, SE., MM.
Dalam meningkatkan kinerja karyawan banyak faktor-faktor yang sangat
perlu diperhatikan oleh pihak manajemen perusahaan, salah satunya yaitu
dengan motivasi kerja dan disiplin kerja. Tujuan peneltian ini adalah yang
pertama untuk mengetahui apakah motivasi kerja berpengaruh terhadap kinerja
karyawan bagian produksi di PT. Marinal Indoprima Cabang Sumenep, yang
kedua untuk mengetahui apakah disiplin kerja berpengaruh terhadap kinerja
karyawan bagian produksi di PT. Marinal Indoprima Cabang Sumenep, dan yang
ketiga untuk mengetahui apakah motivasi kerja dan disiplin kerja secara
bersama-sama berpengaruh terhadap kinerja karyawan bagian produksi di PT.
Marinal Indoprima Cabang Sumenep.
Penelitian ini dilakukan dengan pendekatan secara kuantitatif dengan
menggunakan metode survei dan penyebaran kuesioner. Populasi dalam
penelitian ini sebanyak 543 orang karyawan, dan jumlah sampel sebanyak 85
orang karyawan di bagian produksi pada PT. Marinal Indoprima Cabang
Sumenep. Metode pengambilan sampel menggunakan rumus Slovin. Untuk
Teknik penarikan sampel menggunakan Cluster Sampling, dan dianalisis dengan
alat uji analisis regresi linier berganda. Untuk menguji instrumen penelitian ini
menggunakan uji asumsi klasik, sedangkan tehnik analisis yang digunakan untuk
menguji hipotesis adalah dengan uji F dan uji t.
Kesimpulan penelitian ini adalah yang pertama secara parsial variabel
independen (Motivasi Kerja) berpengaruh positif dan signifikan terhadap variabel
dependen (Kinerja Karyawan) bagian produksi di PT. Marinal Indoprima Cabang
Sumenep. Hal ini dapat dilihat dengan nilai koefisien regresi (B) sebesar 0,700
dan memiliki nilai signifikansi sebesar 0,000 < a = 0,05. Sedangkan hasil thitung
sebesar 9,221 > ttabel sebesar 1, 66365, yang kedua secara parsial variabel
independen (Disiplin Kerja) berpengaruh positif dan signifikan terhadap variabel
dependen (Kinerja Karyawan) bagian produksi di PT. Marinal Indoprima Cabang
Sumenep. Hal ini dapat dilihat dengan nilai koefisien regresi (B) sebesar 0,197
dan memiliki nilai signifikansi sebesar 0,017 < a = 0,05. Sedangkan hasil thitung
sebesar 2,435 > ttabel sebesar 1, 66365, dan yang ketiga secara bersama-sama
atau simultan variabel independen (Motivasi Kerja dan Disiplin Kerja)
berpengaruh positif dan signifikan terhadap variabel dependen (Kinerja
Karyawan) bagian produksi di PT. Marinal Indoprima Cabang Sumenep. Hal ini
dapat dilihat dengan nilai Fhitung sebesar 75,303 > Ftabel yaitu 3,11 dengan tingkat
signifikansi 0,000 < 0,05.
Kata Kunci: Motivasi Kerja, Disiplin Kerja, dan Kinerja Karyawan.",msdm
Pengaruh Integritas dan Disiplin Kerja terhadap Kinerja Karyawan Bagian Produksi di PT. Dok dan Perkapalan Surabaya,Penulis : Umi Kulsum,"Dra. Hj. S. Anugrahini Irawati., MM","Faidal, SE., MM","Umi Kulsum, Pengaruh Integritas dan Disiplin Kerja terhadap Kinerja Karyawan Bagian Produksi di PT. Dok dan Perkapalan Surabaya.Dibawah bimbingan   Dra. Hj. S. Anugrahini Irawati., MM dan Faidal, SE., MM.
	
PT. Dok dan Perkapalan surabaya merupakan salah satu perusahaan yang bergerak dalam bidang reparasi kapal dengan skala yang besar. Perusahaan ini terletak di Jl. Perak Barat No. 433-435, Pabean Cantian, Surabaya. Perusahaan memiliki 430 orang karyawan yang berperan menjaga produktifitas perusahaan agar mampu bersaing dengan perusahaan lain dan mampu mencapai target yang telah ditetapkan oleh perusahaan. Sampel penelitian ini sebanyak 66 orang karyawan bagian produksi.

Tujuan dari penelitian ini adalah untuk mengetahui apakah integritas berpengaruh terhadap kinerja karyawan bagian produksi di PT. Dok dan Perkapalan Surabaya. Untuk mengetahui apakah disiplin kerja berpengaruh terhadap kinerja karyawan bagian produksi di PT. Dok dan Perkapalan Surabaya.  Untuk mengetahui apakah kedua variabel secara simultan berpengaruh terhadap kinerja karyawan bagian produksi di PT. Dok dan Perkapalan Surabaya.

Hipotesis penelitian ini diduga Variabel integritas berpengaruh secara positif dan signifikan terhadap kinerja karyawan bagian produksi di PT. Dok dan Perkapalan Surabaya. Variabel disiplin kerja berpengaruh secara positif dan signifikan terhadap kinerja karyawan bagian produksi di PT. Dok dan Perkapalan Surabaya. Secara simultan ada pengaruh positif dan signifikan terhadap kinerja karyawan bagian produksi di PT. Dok dan Perkapalan Surabaya. 

Berdasarkan hasil analisis regresi linier berganda secara parsial integritas dan disiplin kerja berpengaruh terhadap kinerja karyawan bagian produksi di PT. Dok dan Perkapalan Surabaya. Pengaruh secara simultan yang disebabkan oleh variabel integritas dan disiplin kerja adalah sebesar 107,978, secara parsial variabel integritas t hitung sebesar 5,241, dan disiplin kerja sebesar 2,435. Berdasarkan hasil pengujian menunjukkan bahwa hipotesis diterima .Hasil analisis determinasi menunjukkan R2 sebesar 0,770. 

Kata Kunci : integritas, disiplin kerja, kinerja karyawan
",pemasaran
Pengaruh Stres Kerja Karyawan dan Dukungan Sosial Terhadap Disiplin Kerja PT. Adiluhung SaranaSegara Indonesia,Penulis : Erika Elva Mardiana,"Dr. RM. Moch. Wispandono., SE., MS","Helmi Buyung Aulia S, ST., SE.,MMT","ABSTRAK
Erika Elva Mardiana. 120211100160. Pengaruh Stres Kerja Karyawan Dan
Dukungan Sosial Terhadap Disiplin Kerja PT. Adiluhung Saranasegara
Indonesia, di bawah bimbingan. Dr. H. RM. Moch Wispandono, SE., MS. Dan
Helmi Buyung Aulia S, ST., SE.,
Stres Kerja dan Dukungan Sosial merupakan salah satu faktor penting
yang dapat mempengaruhi disiplin kerja. Dalam melaksanakan pekerjaan,
karyawan sering mengalami permasalahan seperti karyawan yang tidak
konsentrasi pada pekerjaan karena mengalami stres kerja, tingkat dukungan
sosial yang rendah sehingga berpengaruh terhadap disiplin kerja.
Penelitian ini bertujuan untuk mengetahui pengaruh stres kerja karyawan
dan dukungan sosial baik secara simultan maupun parsial terhadap disiplin kerja
karyawan PT. Adiluhung Saranasegara Indonesia. Hasil penelitian menunjukkan
bahwa pada stres kerja (X1) dan dukungan sosial (X2) terdapat pengaruh yang
signifikan terhadap disiplin kerja (Y) secara bersamaan. Pada stres kerja (X1)
terdapat pengaruh negatif terhadap disiplin kerja (Y). Sedangkan dukungan
sosial (X2) berpengaruh positif terhadap disiplin kerja (Y), sehingga dapat
disimpulkan bahwa stres kerja yang tinggi dan dukungan sosial yang rendah
berdampak pada penurunan disiplin kerja, begitu pula sebaliknya. Berdasarkan
data statistik menunjukkan bahwa stres kerja karyawan berpengaruh terhadap
disiplin kerja sebesar 18.3%. Selanjutnya ditemukan bahwa dukungan sosial
berpengaruh terhadap disiplin kerja sebesar 71.6%. Dengan demikian dukungan
sosial memberikan pengaruh signifikan terbesar terhadap disiplin kerja.
Kata kunci : Stres Kerja, Dukungan Sosial dan Disiplin Kerja",pemasaran
PENGARUH ASPIRASI DAN PARTISIPASI KARYAWAN DALAM SERIKAT PEKERJA TERHADAP MOTIVASI KERJA KARYAWAN PT. DOK DAN PERKAPALAN SURABAYA (PERSERO),Penulis : Mimin Dwi Jayanti,"Dr. H. M. Alkirom Wildan, SE.,Msi","Dr. RM. Moch. Wispandono, SE., MS","Mimin Dwi Jayanti, NIM. 12.02.111.001.39, Program studi Manajemen, Fakultas Ekonomi dan Bisnis, Universitas Trunojoyo Madura. Skripsi ini tentang pengaruh aspirasi dan partisipasi karyawan dalam serikat pekerja terhadap motivasi kerja karyawan PT. Dok dan Perkapalan Surabaya (Persero). Di bawah bimbingan Dr. H. M. Alkirom Wildan, SE.,Msi. Dan Dr. RM. Moch. Wispandono, SE., MS.
Penelitian ini di latar belakangi oleh masalah masalah motivasi kerja yang di pengaruhi oleh variabel independen Aspirasi dan Partisipasi. Variabel yang dianalisis adalah Aspirasi, Partisipasi sebagai variabel bebas dan Motivasi kerja karyawan PT. Dok dan Perkapalan Surabaya sebagai variabel terikat. Populasi dan sampel dalam penelitian ini adalah seluruh karyawan yang menjadi anggota serikat pekerja pada PT. Dok dan Perkapalan Surabaya. Penelitian ini dilakukan dengan menggunakan teknik pengambilan sampel dengan rumus Slovin dan metode cluster random sampling. Data diperoleh dengan membagikan kuesioner kepada karyawan, dengan populasi sebanyak 430 orang karyawan dan sampel yang telah dihitung sebanyak 76 orang karyawan. Untuk menjawab hipotesis penelitian menggunakan analisis regresi linier berganda.
Dari hasil penelitian dengan cara uji regresi linier berganda data yang diolah dengan menggunakan SPSS 21 For Windows, hasil uji regresi secara parsial Aspirasi (X1) berpengaruh terhadap Motivasi kerja karyawan dengan hasil perhitungan menunjukkan bahwa thitung sebesar 4,972 dengan tingkat signifikan sebesar 0,000 < 0,05. Nilai koefisien variabel Partisipasi (X2) diatas menunjukkan bahwa nilai thitung sebesar 6,265 dengan tingkat signifikan sebesar 0,000 < 0,05. Hasil aspirasidan partisipasi secara simultan dengan nilai besarnya Fhitung sebesar 87,791 dengan tingkat signifikansi 0,000 < 0,05 dan nilai R2 sebesar 0,698 artinya bahwa 69,8% motivasi kerja karyawan PT. Dok dan Perkapalan Surabaya dapat dipengaruhi oleh variabel bebas aspirasi (X1) dan Partisipasi (X2) sedangkan sisanya yaitu sebesar 30,2% dipengaruhi oleh variabel lain yang tidak diteliti dalam penelitian ini. Kata
Kunci: Aspirasi, Partisipasi, Motivasi kerja.
",msdm
Pengaruh Atribut Produk Terhadap Keputusan Perpindahan Merek Handphone Nokia,Penulis : Utari,"Fathor AS, SE.,MM","Nirma Kurriwati, SP., M.Si","Utari, Pengaruh Atribut Produk Terhadap Keputusan Perpindahan Merek Handphone Nokia (Studi pada Mahasiswa Universitas Trunojoyo Madura). Dibawah bimbingan Fathor AS, SE., MM dan Nirma Kurriwati, SP., Msi.

       Banyaknya merek yang ditawarkan produsen handphone, menyebabkan konsumen tidak lagi loyal dan ketergantungan terhadap satu merk handphone saja. Produsen yang tidak mampu memenuhi kebutuhan dan keinginan konsumen akan berdampak pada menurunnya tingkat loyalitas konsumen yang menyebabkan adanya perilaku perpindahan merek yang dilakukan konsumen.

       Tujuan penelitian ini adalah untuk mengetahui pengaruh atribut produk yang terdiri dari kualitas, fitur, dan desain berpengaruh terhadap keputusan perpindahan merek dari handphone merek Nokia ke handphone merek lain pada Mahasiswa Universitas Trunojoyo Madura.

      Penelitian ini menggunakan pendekatan kuantitatif. Metode pengambilan sampel yang digunakan adalah purposive sampling dengan jumlah sampel sebesar 97 responden. Analisis data yang digunakan dalam peneltian ini adalah menggunakan uji validitas, uji reliabilitas, uji normalitas, uji multikolonearitas,  uji heteroskedastisitas,regresi linier berganda, uji koefisisen determinasi, Uji F, dan Uji T.

       Hasil penelitian ini menunjukkan bahwa atribut produk yang terdiri dari kualitas, fitur, dan desain berpengaruh signifikan secara parsial dan simultan terhadap keputusan perpindahan merek dari handphone merek Nokia ke handphone merek lain pada Mahasiswa Univeritas Trunojoyo Madura. Kualitas merupakan variabel yang berpengaruh dominan terhadap keputusan perpindahan merek dari handphone merek Nokia ke handphone merek lain.


Kata kunci : kualitas, fitur, desain, dan keputusan perpindahan merek 





",msdm
"ANALISIS PENGARUH MARKET VALUE ADDED, RETURN ON EQUITY, PRICE TO BOOK VALUE DAN PRICE EARNING RATIO TERHADAP RETURN SAHAM PERUSAHAAN OTOMOTIF DAN KOMPONEN YANG TERDAFTAR  DI BURSA EFEK INDONESIA PERIO",Penulis : ADITYA HARIS DHUHA PRIAMBODO,"Drs. Bambang Sudarsono., MM","Prasetyo Nugroho S.Pi., MM","Aditya Haris Dhuha Priambodo, Analisis Pengaruh Market Value Added, Return On Equity, Price to Book Value dan Price Earning Ratio Terhadap Return Saham Perusahaan Otomotif dan Komponen yang terdaftar di Bursa Efek Indonesia Periode 2010-2014. Di bawah bimbingan  Bapak Drs. H. Bambang Sudarsono, MM dan Bapak Prasetyo Nugroho S.pi., MM.

Tujuan penelitian ini untuk menganalisis pengaruh Market Value Added, Return On Equity, Price to Book Value dan Price Earning Ratio terhadap Return Saham. Data yang digunakan dalam penelitian ini diperoleh dari laporan keuangan perusahaan Otomotif dan Komponen yang terdaftar di Bursa Efek Indonesia periode 2010-2014 dan harga saham akhir periode. 
Penelitian ini menggunakan pendekatan kuantitatif dan menggunakan data sekunder dengan menggunakan purposive sampling sehingga diperoleh sampel 12 perusahaan dari jumlah populasi sebanyak 13 perusahaan. 
Metode yang digunakan adalah analisis uji asumsi klasik, analisis regresi linear berganda, uji f, uji t dan uji koefisien determinasi.Hasil penelitian menunjukkan secara parsial Market Value Added berpengaruh positif dan signifikan terhadap return saham dengan nilai signifikan 0,023, Return On Equity berpengaruh negatif dan tidak signifikan terhadap return saham dengan nilai signifikan 0,085, Price to Book Value berpengaruh positif dan tidak signifikan terhadap return saham dengan nilai signifikan  0,750, Price Earning Ratio berpengaruh positif dan tidak signifikan terhadap return saham dengan nilai signifikan 0,710. Dan secara simultan keempat  variabel bebas yaitu Market Value Added, Return On Equity, Price to Book Value dan Price Earning Ratio  berpengaruh signifikan terhadap Return Saham dengan nilai signifikan 0,027 pada perusahaan manufaktur sub sektor otomotif dan komponen.

Kata kunci : Market Value Added (MVA), Return On Equity(ROE), Price to Book Value (PBV), Price Earning Ratio (PER), dan Return.
",keuangan
